Type	diana	mirmap	mirtarget	mirza_U	paccmit	targetscan_C	targetscan_NC
pos	0.175	-7.60839985	25	0.193647	-0.5	-2.219	-32.278
pos	0.602	0.177418	25	0.164021	0.789	-2.219	0.183
pos	0.742	0.1157091	25	-7.5936245	0.766	-2.219	-32.278
pos	0.175	0.159444	25	-7.5936245	0.58	-2.219	-32.278
pos	0.652	0.281611	50	0.282379	-0.5	-2.219	-32.278
pos	0.999	0.402102	84.3007666231	0.284922	0.685	0.4	-32.278
pos	0.175	0.197414	25	0.357209	-0.5	-2.219	-32.278
pos	0.175	0.272837	25	0.177544	-0.5	-2.219	0.045
pos	0.755	0.214738	25	0.328599	-0.5	0.392	-32.278
pos	0.653	-7.60839985	25	-7.5936245	0.856	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.66	-2.219	-32.278
pos	0.573	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.99	0.308466	25	0.197713	-0.5	0.449	-32.278
pos	0.623	0.1360499	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.966	-2.219	-32.278
pos	0.67	0.1245267	25	-7.5936245	0.63	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.525	-2.219	-32.278
pos	0.175	0.173292	25	0.224965	-0.5	-2.219	0.053
pos	0.713	0.1132355	25	0.20246	-0.5	0.166	-32.278
pos	0.175	0.1195525	25	-7.5936245	-0.5	-2.219	0.063
pos	0.175	0.377204	94.02661	0.253563	-0.5	0.729	0.002
pos	0.175	0.227393	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.939	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.1278421	25	0.143863	-0.5	-2.219	-32.278
pos	0.543	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.495	0.250378	25	-7.5936245	-0.5	-2.219	0
pos	0.52	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.675	0.486288	25	0.242442	0.567	-2.219	0.166
pos	0.175	0.0980701	25	-7.5936245	0.429	-2.219	0.034
pos	0.175	0.0534605	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0602263	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.527	0.1338138	25	-7.5936245	-0.5	-2.219	0.002
pos	0.853	0.355474	25	-7.5936245	-0.5	-2.219	0.38
pos	0.487	0.166929	25	0.149838	0.927	-2.219	0.016
pos	0.517	0.180056	25	-7.5936245	-0.5	-2.219	0.043
pos	0.752	-7.60839985	25	0.405248	-0.5	-2.219	0.017
pos	0.175	0.0321636	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.692	-2.219	-32.278
pos	0.483	-7.60839985	25	-7.5936245	-0.5	-2.219	0.005
pos	0.707	-7.60839985	25	-7.5936245	0.82	-2.219	-32.278
pos	0.458	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.00445300000000001	25	-7.5936245	0.734	-2.219	-32.278
pos	0.557	0.282817	25	0.405261	-0.5	-2.219	0.102
pos	0.175	0.0737453	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.15183	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.491	0.1342044	25	-7.5936245	-0.5	-2.219	0.078
pos	0.175	-7.60839985	25	0.298386	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	0.179755	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.968	-2.219	-32.278
pos	0.594	0.42257	65.7644	0.438691	-0.5	-2.219	0.346
pos	0.803	0.173814	25	-7.5936245	-0.5	-2.219	0.009
pos	0.175	-7.60839985	25	-7.5936245	0.834	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.919	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.039
pos	0.509	0.0997563	25	0.133345	-0.5	-2.219	0.011
pos	0.175	-7.60839985	25	-7.5936245	0.674	-2.219	-32.278
pos	0.175	0.1072852	25	0.171241	-0.5	-2.219	-32.278
pos	0.466	0.1034218	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0683074	25	-7.5936245	-0.5	-2.219	0.007
pos	0.575	0.1080002	25	0.143367	0.595	-2.219	0.198
pos	0.489	0.05058966	25	-7.5936245	0.978	-2.219	-32.278
pos	0.175	0.0791165	25	0.221643	-0.5	0.004	-32.278
pos	0.744	0.177762	61.2464	-7.5936245	0.793	-2.219	0.099
pos	0.175	0.0746051	25	0.17478	-0.5	-2.219	0.116
pos	0.175	-7.60839985	25	-7.5936245	0.894	-2.219	-32.278
pos	0.175	0.0424516	25	-7.5936245	-0.5	-2.219	0.01
pos	0.175	0.0301534	25	-7.5936245	-0.5	-2.219	0.072
pos	0.175	-7.60839985	25	-7.5936245	0.9941	-2.219	-32.278
pos	0.492	0.050969989	25	0.195459	-0.5	-2.219	0.02
pos	0.987	0.330762	98.40014882485	0.177368	-0.5	0.428	-32.278
pos	0.498	0.0341635	25	-7.5936245	0.635	-2.219	-32.278
pos	0.491	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.885	-7.60839985	25	-7.5936245	0.897	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.813	-2.219	-32.278
pos	0.531	0.0876391	25	0.552819	-0.5	-2.219	0.023
pos	0.495	0.1022589	25	-7.5936245	0.727	-2.219	-32.278
pos	0.49	0.0264987	25	-7.5936245	-0.5	0.011	-32.278
pos	0.565	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.298561	25	0.270308	-0.5	-2.219	0.261
pos	0.936	0.522469	25	0.411287	-0.5	-2.219	0.213
pos	0.175	0.0761652	25	0.255229	-0.5	-2.219	0.17
pos	0.583	0.291083	25	-7.5936245	0.84	-2.219	-32.278
pos	0.175	0.0340374	25	-7.5936245	0.98	-2.219	0.01
pos	0.175	0.0190913	25	-7.5936245	0.692	-2.219	-32.278
pos	0.175	0.424676	25	0.518328	-0.5	-2.219	0.499
pos	0.175	0.291624	25	-7.5936245	0.931	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.937	-2.219	-32.278
pos	0.553	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0326621	25	-7.5936245	-0.5	-2.219	0.004
pos	0.175	0.0109003	25	-7.5936245	-0.5	-2.219	0.026
pos	0.585	0.0991162	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0319593	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.795	0.0292504	25	0.122116	-0.5	-2.219	0.093
pos	0.626	0.402807	25	0.489208	-0.5	-2.219	0.142
pos	0.89	0.0935242	25	-7.5936245	-0.5	0.049	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.602	-2.219	-32.278
pos	0.57	0.429651	25	-7.5936245	-0.5	-2.219	0.018
pos	0.664	0.468801	25	-7.5936245	0.302	-2.219	0.139
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.002
pos	0.175	1.52834	74.4283991350998	-7.5936245	-0.5	-2.219	0.371
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.34
pos	0.533	-7.60839985	25	0.386123	0.213	-2.219	0.051
pos	0.175	0.0219668	25	-7.5936245	0.715	-2.219	-32.278
pos	0.496	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.787	0.0075063	25	-7.5936245	-0.5	-2.219	0.055
pos	0.813	0.0847991	25	-7.5936245	-0.5	-2.219	0.003
pos	0.674	0.151558	25	0.122066	0.929	-2.219	0.02
pos	0.595	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.508	0.04805978	25	0.25143	-0.5	-2.219	-32.278
